escenario,metodo,rmse,mape,sesgo,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion
base_sin_contaminacion,clasico,600.4213171895647,0.2751010489983961,47.84947071434608,0.0,1.0,ninguna
p5_m2_aleatoria,mediana,742.5112781635762,0.33462606125860844,106.6233676594406,0.05,2.0,aleatoria
p5_m2_tardia,clasico,662.4431508005516,0.30479485807734713,123.31126323220866,0.05,2.0,tardia
p5_m2_temprana,clasico,636.7035557109715,0.29641019660007045,59.906120623535095,0.05,2.0,temprana
p5_m5_aleatoria,mediana,1276.244012378151,0.4549460335228569,354.3026058560055,0.05,5.0,aleatoria
p5_m5_tardia,mediana,1170.44259298338,0.39327889913183933,244.37635060592066,0.05,5.0,tardia
p5_m5_temprana,mediana,1078.391665791124,0.3893030292058533,149.7896996835656,0.05,5.0,temprana
p5_m10_aleatoria,mediana,2485.8719055918914,0.7066808326922186,805.1478988368707,0.05,10.0,aleatoria
p5_m10_tardia,mediana,2095.57624041152,0.5346609704968048,496.61998201602654,0.05,10.0,tardia
p5_m10_temprana,mediana,1815.873658718844,0.5083798984908661,385.65438411353176,0.05,10.0,temprana
p10_m2_aleatoria,clasico,768.9754478874817,0.34716893837564,236.9104410004382,0.1,2.0,aleatoria
p10_m2_tardia,clasico,712.0645809179009,0.32623026990917975,178.81271065264755,0.1,2.0,tardia
p10_m2_temprana,clasico,719.8014625714594,0.3286685853470505,94.1223401037229,0.1,2.0,temprana
p10_m5_aleatoria,mediana,1696.692478412989,0.6041119392193887,635.3102679008672,0.1,5.0,aleatoria
p10_m5_tardia,mediana,1663.5213670861492,0.5357476854512528,553.4456315651667,0.1,5.0,tardia
p10_m5_temprana,clasico,1648.7016729566649,0.5262094010431428,354.83382156664027,0.1,5.0,temprana
p10_m10_aleatoria,mediana,3523.1186364121363,1.0747539376396356,1508.1342734922816,0.1,10.0,aleatoria
p10_m10_tardia,mediana,3849.432584408806,0.906876270830224,1207.2484762495226,0.1,10.0,tardia
p10_m10_temprana,clasico,2435.200457092276,0.7148245699074053,585.628348439286,0.1,10.0,temprana
p20_m2_aleatoria,mediana,854.4240135537954,0.38307218294841777,327.2368739750992,0.2,2.0,aleatoria
p20_m2_tardia,clasico,889.6182902154546,0.3961256457255921,386.3702258432545,0.2,2.0,tardia
p20_m2_temprana,clasico,800.980084133242,0.34932260497019496,127.52594319482986,0.2,2.0,temprana
p20_m5_aleatoria,mediana,2339.6075058950523,0.8950852433795566,1210.7362070188258,0.2,5.0,aleatoria
p20_m5_tardia,mediana,2169.961448089779,0.7787528769823526,1029.4883220285917,0.2,5.0,tardia
p20_m5_temprana,clasico,1895.2661649897636,0.6339159295216006,518.9189970905054,0.2,5.0,temprana
p20_m10_aleatoria,mediana,5738.278651861962,1.972328134506535,3031.9946185836507,0.2,10.0,aleatoria
p20_m10_tardia,mediana,4164.295034657161,1.395752457831118,2111.813524596813,0.2,10.0,tardia
p20_m10_temprana,mediana,3344.515751769414,1.0892679441449058,1294.4593211424183,0.2,10.0,temprana
